|Unnamed: 0|Unnamed: 0.1|Unnamed: 0.1.1|Unnamed: 0.1.1.1|Unnamed: 0.1.1.1.1|Unnamed: 0.1.1.1.1.1|Unnamed: 0.1.1.1.1.1.1|Unnamed: 0.1.1.1.1.1.1.1|index|Item_Identifier|Item_Weight|Item_Fat_Content|Item_Visibility|Item_Type|Item_MRP|Outlet_Identifier|Outlet_Establishment_Year|Outlet_Size|Outlet_Location_Type|Outlet_Type|Item_Outlet_Sales
0|0|0|0|0|0|0|0|0.0|0|FDA15|9.3|Low Fat|0.016047301|Dairy|249.8092|OUT049|1999|Medium|Tier 1|Supermarket Type1|3735.138
1|1|1|1|1|1|1|1|1.0|1|DRC01|5.92|Regular|0.019278216|Soft Drinks|48.2692|OUT018|2009|Medium|Tier 3|Supermarket Type2|443.4228
2|2|2|2|2|2|2|2|2.0|2|FDN15|17.5|Low Fat|0.016760075|Meat|141.618|OUT049|1999|Medium|Tier 1|Supermarket Type1|2097.27
3|3|3|3|3|3|3|3|3.0|3|FDX07|19.2|Regular|0.0|Fruits and Vegetables|182.095|OUT010|1998||Tier 3|Grocery Store|732.38
4|4|4|4|4|4|4|55555555555|4.0|4|NCD19|8.93|Low Fat|0.0|Household|53.8614|OUT013|1987|High|Tier 3|Supermarket Type1|994.7052
5|5|5|5|5|5|5|5|5.0|5|FDP36|10.395|Regular|0.0|Baking Goods|51.4008|OUT018|2009|Medium|Tier 3|Supermarket Type2|556.6088
6|6|6|6|6|6|6|6|6.0|6|FDO10|13.65|Regular|0.012741088999999999|Snack Foods|57.6588|OUT013|1987|High|Tier 3|Supermarket Type1|343.5528
7|7|7|7|7|7|7|7|7.0|7|FDP10||Low Fat|0.127469857|Snack Foods|107.7622|OUT027|1985|Medium|Tier 3|Supermarket Type3|4022.7636
8|8|8|8|8|8|8|8|8.0|8|FDH17|16.2|Regular|0.016687114|Frozen Foods|96.9726|OUT045|2002||Tier 2|Supermarket Type1|1076.5986
9|9|9|9|9|9|9|9|9.0|9|FDU28|19.2|Regular|0.09444959|Frozen Foods|187.8214|OUT017|2007||Tier 2|Supermarket Type1|4710.535
10|10|10|10|10|10|10|10|10.0|10|FDY07|11.8|Low Fat|0.0|Fruits and Vegetables|45.5402|OUT049|1999|Medium|Tier 1|Supermarket Type1|1516.0266
11|11|11|11|11|11|11|11|11.0|11|FDA03|18.5|Regular|0.045463773|Dairy|144.1102|OUT046|1997|Small|Tier 1|Supermarket Type1|2187.153
12|12|12|12|12|12|12|12|12.0|12|FDX32|15.1|Regular|0.1000135|Fruits and Vegetables|145.4786|OUT049|1999|Medium|Tier 1|Supermarket Type1|1589.2646
13|13|13|13|13|13|13|13|13.0|13|FDS46|17.6|Regular|0.047257328|Snack Foods|119.6782|OUT046|1997|Small|Tier 1|Supermarket Type1|2145.2076
14|14|14|14|14|14|14|14|14.0|14|FDF32|16.35|Low Fat|0.06802430000000001|Fruits and Vegetables|196.4426|OUT013|1987|High|Tier 3|Supermarket Type1|1977.4260000000002
15|15|15|15|15|15|15|15|15.0|15|FDP49|9.0|Regular|0.06908896099999999|Breakfast|56.3614|OUT046|1997|Small|Tier 1|Supermarket Type1|1547.3192
16|16|16|16|16|16|16|16|16.0|16|NCB42|11.8|Low Fat|0.008596051|Health and Hygiene|115.3492|OUT018|2009|Medium|Tier 3|Supermarket Type2|1621.8888
17|17|17|17|17|17|17|17|17.0|17|FDP49|9.0|Regular|0.06919637599999999|Breakfast|54.3614|OUT049|1999|Medium|Tier 1|Supermarket Type1|718.3982
18|18|18|18|18|18|18|18|18.0|18|DRI11||Low Fat|0.034237682|Hard Drinks|113.2834|OUT027|1985|Medium|Tier 3|Supermarket Type3|2303.6679999999997
19|19|19|19|19|19|19|19|19.0|19|FDU02|13.35|Low Fat|0.10249212|Dairy|230.5352|OUT035|2004|Small|Tier 2|Supermarket Type1|2748.4224
